ID,Organization,Organization Type,Year of Engagement,Scheduled Training Date,Scheduled Workshops,Address,City,State,Zip Code,Longitude,Latitude,Number of People Trained,Project Type,Resources,Resources,Resources,Resources,Testimonial
1157,Emissary of Hope,Non-Profit,2023,,,1947 K Ave,Plano,TX,75074,-96.69927505,33.02784105,229,Teens Teach Teach,,,,,
1158,Escanaba Public Library,Public Library,2023,,,400 Ludington St,Escanaba,MI,49829,-87.04965508,45.74578278,18,CN DST Workshops,,,,,
1159,Estill County Library,Public Library,2023,,,184 Broadway St,Irvine,KY,40336,-83.97202345,37.69997356,90,CN DST Workshops,,,,,
1160,Estill County Senior Citizen Center,Senior Center,"2023, 2024",,,100 Golden Ct,Irvine,KY,40336,-84.00870594,37.69933184,27,CN DST Workshops,,,,,
1161,Eternal Life Rehab,Rehabilitation Center,2025,,,1709 Moses Avenue ,Knoxville,TN,37917,-83.94088334,35.96858857,31,CN DST Workshops,,,,,
1162,Etowah Senior Center,Senior Center,2025,,,435 Cooper St,Etowah,TN,37331,-84.52653471,35.33926585,45,CN DST Workshops,,,,,
1163,Exhilarating Inc.,Business,2025,,,140 Deweese Street,Lexington,KY,40507,-84.49199481,38.0443236,131,Teens Teach Teach,,,,,
1164,F.R.I.E.N.D.S.,Club,2023,,,1317 Fort Campbell Blvd.,Clarksville,TN,37042,-87.40088854,36.56224194,212,Teens Teach Teach,,,,,
1165,Father Bradley Shelter for Women & Children,Housing Shelter,2023,,,530 Klutey Park Plaza Dr.,Henderson,KY,42420,-87.56667521,37.83762051,72,CN DST Workshops,,,,,
1166,Fifty Forward Madison Station,Senior Center,2025,,,530 Madison Station Blvd.,Madison,TN,37115,-86.71705684,36.25680836,4,CN DST Workshops,,,,,
1167,Fifty Forward Martin Center,Non-Profit,2025,11/24/2025,"Cybersecurity, Internet Basics, Mobile Device Basics (iOS)",959 Heritage Way ,Brentwood,TN,37027,-86.78848929,35.99892785,,CN DST Workshops,,,,,
1168,Fisher County,Government ,2021,,,109 N. Angelo ,Roby,TX,79543,-100.3767598,32.74586585,,Community Planning,https://connectednation.org/community-engagements/Fisher-County-texas,,,,
1169,Flatwoods Senior Center,Senior Center,2024,,,2513 Reed St. ,Flatwoods,KY,41139,-82.72434942,38.51520065,22,CN DST Workshops,,,,,
1170,Fleming Senior Center,Senior Center,2025,,,316 Panther Ave.,Flemingsburg,KY,41041,-83.73752361,38.44009079,22,CN DST Workshops,,,,,
1171,Florida A&M University 4H Gadsden County,School,2024,,,4259 Bainbridge Highway,Quincy ,FL,32351 ,-84.60397527,30.6551528,18,Teens Teach Teach,,,,,
1172,Foard County,Government ,2022,,,101 S Main Street,Crowell,TX,79227,-99.72504277,33.98356933,,Community Planning,https://connectednation.org/community-engagements/foard-county-texas,,,,
1173,Fordsville Senior Center,Senior Center,2024,,,313 Main Street,Fordsville,KY,42343,-86.70957325,37.63399122,192,CN DST Workshops,,,,,
1174,Forsyth Township Senior Center,Senior Center,2025,,,165 N. Maple Street,Gwinn,MI,49841,-87.4430237,46.28136867,12,CN DST Workshops,,,,,
1175,Fort Campbell Blue Star Families,Military / Veteran Family Support,2023,,,,Fort Campbell,KY,42223,-87.4444428,36.6419593,491,Teens Teach Teach,,,,,
1176,Fountain Run Senior Center,Senior Center,2024,,,202 Main Street #196  ,Fountain Run,KY,42133,-85.9676582,36.72018461,26,CN DST Workshops,,,,,
1177,Franklin Central High School JAG,School,,,,6215 S Franklin Rd,Indianapolis,IN,46237,-86.01859059,39.67720292,,Teens Teach Teach,,,,,
1178,Friends of Parkside,Non-Profit,,,,"5000 Conner, Ste 103
",Detroit,MI,48213,-82.97607209,42.3893387,,Teens Teach Teach,,,,,
1179,Friendship Christian School PTA,School,2024,,,4709 Hwy 2003,McKee,KY,40447,-84.00413217,37.3495111,26,CN DST Workshops,,,,,
1180,Fun Zone 706,Business,,,,46 Atwater Rd Suite-A,Thomaston,GA,30286,-84.34029762,32.95110737,,Teens Teach Teach,,,,,
1181,Fuse Medical Center,Non-Profit,2024,,,202 W 7th St STE 110,London,KY,40741,-84.08549011,37.12928636,20,CN DST Workshops,,,,,
1182,Gallatin County Senior Center,Senior Center,2024,,,400 3rd Street ,Warsaw,KY,41095,-84.90249265,38.78226816,14,CN DST Workshops,,,,,
1183,Gallatin Senior Center - TN,Senior Center,2025,,,�200 E Franklin St,Gallatin,TN,37066,-86.44452303,36.38989584,14,CN DST Workshops,,,,,
1184,Garrard County Public Library,Public Library,2023,,,101 Lexington Rd,Lancaster,KY,40444,-84.57868205,37.61975929,25,CN DST Workshops,,,,,
1185,Garrard County Senior Citizen Center,Senior Center,2023,,,153 Farra Dr,Lancaster,KY,40444,-84.58195367,37.61194267,9,CN DST Workshops,,,,,
1186,Georgia Cyber Academy (FBLA/CTAE),School Club,,,,"1745 Phoenix Blvd, Ste 500",Atlanta,GA,30349,-84.44600214,33.6146876,,Teens Teach Teach,,,,,
1187,Glascock County Senior Center,Senior Center,2025,,,568 Brassell Park,Gibson,GA,30810,-82.60104173,33.23629681,16,CN DST Workshops,,,,,
1188,Glen Rose School District,School,2024,,, 14334 Highway 67,Malvern,AR,72104,-92.72953194,34.45630725,65,Teens Teach Teach,,,,,
1189,Gloucester County institute of Technology,Government,2025,,,1360 Tanyard Rd,Sewell,NJ,08080,-75.12618352,39.78857255,262,Teens Teach Teach,,,,,
1190,Goodwill of Central Texas,Non-Profit,2023,,,1015 Norwood Park Blvd ,Austin,TX,78753,-97.6931816,30.33964744,15,CN DST Workshops,https://www.goodwillcentraltexas.org/events/connect-to-tech/,,,,
1191,Grand Seniors @ Mountain Family Center,Senior Center,2025,,,480 E. Agate Ave.,Granby,CO,80446,-105.9346017,40.0848849,30,CN DST Workshops,,,,,
1192,Granville Senior Center,Senior Center,2025,,,6026 Granville Hwy ,Granville,TN,38564,-85.78006752,36.27668018,20,CN DST Workshops,,,,,
1193,Graves County Library,Public Library,2023,,,601 N 17th St,Mayfield,KY,42066,-88.64944762,36.74736616,5,CN DST Workshops,,,,,
1194,Gray Hawk Community Church ,Place of Worship,2024,,,US Highway 421 S ,Gray Hawk,KY,40434,-83.94790324,37.40410147,5,CN DST Workshops,,,,,
1195,Gray's Creek High School - FBLA ,School Club,2024,,,5301 Celebration Dr,HOPE MILLS,NC,28348,-78.90371635,34.92368125,135,Teens Teach Teach,,,,,
1196,Grayson County Senior Center,Senior Center,"2023, 2024",,,6121 HWY 421N,Leitchfield,KY,42754,-86.3027641,37.4828855,158,CN DST Workshops,,,,,
1197,Green County Senior Center ,Senior Center,2025,11/06/2025,"Cybersecurity, Internet Basics, Mobile Device Basics (iOS)",1031 Silver Dr,Greensboro,GA,30642,-83.20122652,33.57512031,45,CN DST Workshops,,,,,
1198,Greene County Senior Citizen Center,Senior Center,2025,,,�110 North 1st,Greensburg,KY,42743,-85.50264865,37.26197156,,CN DST Workshops,,,,,
1199,Greenfield Senior Citizens Center,Senior Center,2023,,,280 Apple St,Greenfield,IN,46140,-85.75555691,39.78843417,42,CN DST Workshops,,,,,
1200,Greenup County Senior Citizen Center,Senior Center,2024,,,614 Main Street ,Greenup,KY,41144,-82.83457756,38.57640954,10,CN DST Workshops,,,,,
1201,Greenwood Senior Center,Senior Center,2025,,,4040 Greenwood Dr,Corpus Christi,TX,78416,-97.43105434,27.75964538,18,CN DST Workshops,,,,,
1202,Hadley Park Regional Community Center,Community Center,2025,,,1037 28th Avenue North,Nashville,TN,37208,-86.82049548,36.16666355,66,CN DST Workshops,,,,,"These digital skills classes were a big refresher for me. I had learned some of this stuff before, but after not practicing for a while, I forgot a lot of it. This really helped me get back on track."
1203,Hager's Well,Rehabilitation Center,2025,,,2200 Hawk Creek Road ,London,KY,40741,-84.19817524,37.18537777,27,CN DST Workshops,,,,,
1204,Hall County,Government ,2021,,,100 E Main St,Memphis,TX,79245,-100.5307534,34.72514658,,Community Planning,https://connectednation.org/community-engagements/Hall-County-texas,,,,
1205,Hall Senior Center,Senior Center,2024,,,4405 Crippen Road ,Knoxville,TN,37918,-83.91837156,36.07580854,16,CN DST Workshops,,,,,
1206,Hancock County Public Library,Public Library,2023,,,900 W McKenzie Rd,Greenfield,IN,46140,-85.78360167,39.7992886,2,CN DST Workshops,,,,,
1207,Hands & Feet Ministry,Place of Worship,2024,,,6099 Hwy 421 ,Gray Hawk,KY,40434,-83.93782151,37.39382916,8,CN DST Workshops,,,,,
1208,Harbin Memorial Public Library,Public Library,2023,,,117 S Main St,Greenville,KY,42345,-87.17849536,37.2006783,150,CN DST Workshops,,,,,
1209,Hardeman County,Government ,2023,,,200 N Main St,Quanah,TX,79252,-99.73896729,34.30219288,,Community Planning,https://connectednation.org/community-engagements/Hardeman-County-texas,,,,
1210,Hardin County,Government ,2022,,,300 W Monroe St,Kountze,TX,77625,-94.31567359,30.36867691,,Community Planning,https://connectednation.org/community-engagements/Hardin-County-texas,,,,
1211,Harlan County Library,Public Library,2023,,,107 N. 3rd Street ,Harlan,KY,40831,-83.31999637,36.84714924,3,CN DST Workshops,,,,,
1212,Harlan County Senior Citizen Center,Senior Center,"2023, 2024",,,105 N Cumberland Avenue ,Harlan,KY,40831,-83.32372297,36.84743175,8,CN DST Workshops,,,,,
1213,Harris Foundation Recovery Center,Rehabilitation Center,2024,,,3444 Cumberland Falls Hwy,Corbin,KY,40701,-84.14553982,36.91202337,38,CN DST Workshops,,,,,
1214,Harrison County,Government ,2021,,,200 W Houston St,Marshall,TX,75670,-94.36885602,32.54497629,,Community Planning,https://connectednation.org/community-engagements/Harrison-County-texas,,,,
1215,Harrison County Senior Citizen Center,Senior Center,2024,,,216 Old Laird Road,Cynthiana,KY,41031,-84.28944042,38.38487953,20,CN DST Workshops,,,,,
1216,Haskell County,Government ,2022,,,100 N 1st St,Haskell,TX,79521,-99.72909366,33.1575935,,Community Planning,https://connectednation.org/community-engagements/Haskell-County-texas,,,,
1217,Hays County,Government ,2022,,,111 E San Antonio St,San Marcos,TX,78666,-97.94068159,29.8822762,,Community Planning,https://connectednation.org/community-engagements/Hays-County-texas,,,,
1218,Hazard County Senior Citizen Center,Senior Center,2023,,,354 Perry Park Rd,Hazard,KY,41701,-83.20589696,37.27464579,28,CN DST Workshops,,,,,
1219,Hazard/Perry Senior Center,Senior Center,2024,,,354 Perry Park Rd,Hazard,KY,41701,-83.20589696,37.27464579,40,CN DST Workshops,,,,,
1220,Heather Gardens,Senior Center,2025,,,2888 S Heather Gardens Way,Aurora,CO,80014,-104.8316174,39.66399605,73,CN DST Workshops,,,,,
1221,Hernando High School FBLA,School Club,2024,,,700 bell Avenue.,Brooksville,FL,34601,-82.38379671,28.56284415,9,Teens Teach Teach,,,,,
1222,Hickory Hills,Senior Center,2025,,,100 Recovery Way ,Emmalena,KY,41740,-83.07009781,37.37638575,94,CN DST Workshops,,,,,
1223,Highlands Diversified,Business,2025,,,420 Tobacco Road ,London,KY,40741,-84.07572209,37.13568461,18,CN DST Workshops,,,,,
1224,Highlands Ranch Senior Center,Senior Center,2025,,,200 E Highlands Ranch Pkwy,Highlands Ranch,CO,80126,-104.9871206,39.54816414,39,CN DST Workshops,https://www.youtube.com/watch?v=--nIWb8QlvM,,,,
1225,Hogansville Public Library,Public Library,2025,,,310 Johnson St.,Hogansville,GA,30230,-84.91123213,33.17807816,12,CN DST Workshops,,,,,
1226,Hometown Senior Center,Senior Center,2025,,,40 1St Ave N.  ,Hometown,WV,25109,-81.86322898,38.53260111,24,CN DST Workshops,,,,,
1227,Hope & Science,Non-Profit,2023,,,1171 Whitlock Ave NW,Marietta,GA,30064,-84.58685943,33.94913924,36,Teens Teach Teach,,,,,
1228,Hope Center,Community Center,2025,,,1524 Versailles Road ,Lexington,KY,40504,-84.53072935,38.04901097,20,CN DST Workshops,,,,,
1229,Hopkins County Library,Public Library,2023,,,425 E Center St,Madisonville,KY,42431,-87.49149993,37.32748581,6,CN DST Workshops,,,,,
1230,Hopkins County Senior Center,Senior Center,"2023, 2024",,,503 South Main Street,Madisonville,KY,42431,-87.49996696,37.32127965,86,CN DST Workshops,,,,,
1231,Hopkinsville-Christian County Public Library,Public Library,2023,,,1101 Bethel St,Hopkinsville,KY,42240,-87.49032923,36.86535561,14,CN DST Workshops,,,,,
1232,Housing Authority - City of Austin,Government,2023,,,85 Trinity St.,Austin,TX,78701,-97.74136782,30.26154981,58,CN DST Workshops,,,,,
1233,Housing Forward,Housing Shelter,2023,,,211 N. Oak Park Ave.,Oak Park,IL,60302,-87.79507595,41.89062357,21,CN DST Workshops,,,,,
1234,Houston County,Government ,2021,,,401 E Goliad Ave,Crockett,TX,75835,-95.45772073,31.31767804,,Community Planning,https://connectednation.org/community-engagements/Houston-County-texas,,,,
1235,Houston Methodist Hospital,Hospital,2023,,,6565 Fannin St. ,Houston,TX,77030,-95.40093794,29.70947861,9,CN DST Workshops,,,,,
1236,Hueneme High School,School,2025,,,500 W. Bard Rd.,Oxnard,CA, 93033,-119.1817956,34.1610361,329,Teens Teach Teach,,,,,
1237,I Am Unique,Non-Profit,,,,3201 NJ-38 #103,Mt Laurel Township,NJ,08054,-74.88251221,39.97005593,,Teens Teach Teach,,,,,
1238,Ignite Tech Youth,Non-Profit,2024,,,1053 Russellville Rd,St. Stephen,SC,29479,-79.92902025,33.3995819,113,Teens Teach Teach,,,,,
1239,Immaculate Heart of Mary Catholic Church,Place of Worship,2025,,,617 Santa Rosa Ave,San Antonio,TX,78204,-98.49972822,29.41980184,98,CN DST Workshops,,,,,
1240,Independence House,Rehabilitation Center,2025,,,3110 Cumberland Falls HWY ,Corbin,KY,40701,-84.14021966,36.91343605,12,CN DST Workshops,,,,,
1241,Independence Senior Center,Senior Center,2025,,,2001 Jackwoods Pkwy,Independence,KY,41051,-84.54703483,38.93264001,,CN DST Workshops,,,,,
1242,Indiana County Tech Center,School,2024,,,441 Hamill Rd,Indiana,PA,15701,-79.122811,40.64276317,223,Teens Teach Teach,,,,,
1243,Inspire Academy of Schools,School,2024,,,10147 W Grand Ave suite C1,Sun City,AZ,85351,-112.279158,33.59919667,200,Teens Teach Teach,,,,,
1244,International Center of Kentucky - Bowling Green,Non-Profit,2024,,,806 Kenton St.,Bowling Green,KY,42101,-86.4336398,36.98589027,224,CN DST Workshops,https://www.youtube.com/watch?v=r1LMPYQN85A,https://www.youtube.com/watch?v=gvkt8RaA8Tk,https://www.youtube.com/watch?v=aCM9wMEVk3M&t=76s,,
1245,International Girls Academy,School,"2024, 2025",,,841 South 11 street,Newark,NJ,07108,-74.20779315,40.72432298,25,Teens Teach Teach,,,,,
1246,Ishpeming Senior Center,Senior Center,2025,,,121 Greenwood Street,Ishpeming,MI,49849,-87.6759214,46.48829532,,CN DST Workshops,,,,,
1247,J. Graham Brown School,School,,,,"546 S 1st Street , KY  ",Louisville,KY,40202,-85.75280739,38.24917669,,Teens Teach Teach,,,,,
1248,Jack County,Government ,2021,,,100 N Main Street,Jacksboro,TX,76458,-98.15876447,33.21879875,,Community Planning,https://connectednation.org/community-engagements/jack-county-texas,,,,
1249,Jackson County,Government ,2024,,,101 E Broadway,Altus,OK,73521,-99.33360093,34.63787071,,Community Planning,https://connectednation.org/community-engagements/Jackson-County-oklahoma,,,,
1250,Jackson County Detention Center / Jail,Non-Profit,"2023, 2025",,,1893 McCammon Ridge Rd.,McKee,KY,40447,-83.9640282,37.41532761,157,CN DST Workshops,,,,,
1251,Jackson County IDA,Government,2023,,,169 Carpenter Dr,Annville,KY,40402,-83.95393698,37.32835422,25,CN DST Workshops,,,,,
1252,Jackson County Public Library,Public Library,2023,,,338 N. Main Street,McKee,KY,40447,-84.00035168,37.43029882,50,CN DST Workshops,,,,,
1253,Jackson County Senior Center,Senior Center,2025,11/05/2025,"Cybersecurity, Internet Basics, Mobile Device Basics (iOS)",151 Stan Evans Dr. ,Jefferson,GA,30549,-83.56672113,34.14071154,,CN DST Workshops,,,,,
1254,Jackson County Senior Center,Senior Center,2025,,,2230 York Hwy.,Gainsboro,TN,38562,-85.57717115,36.38699026,,CN DST Workshops,,,,,
1255,Jarrell Community LIbrary and Resource Center,Public Library,2025,,,113 Limestone Terrace,Jarrell,TX,76537,-97.60899594,30.81470241,46,Teens Teach Teach,,,,,
1256,Jasper County,Government ,2021,,,121 N Austin Street,Jasper,TX,75951,-93.99942263,30.92130018,,Community Planning,https://connectednation.org/community-engagements/jasper-county-texas,,,,
1257,Jeff Davis County,Government ,2021,,,105 Courthouse Dr,Fort Davis,TX,79734,-103.9749865,30.6171626,,Community Planning,https://connectednation.org/community-engagements/Jeff-Davis-County-texas,,,,
1258,Jefferson City Senior Center,Senior Center,2025,,,807 W Jefferson St.,Jefferson City,TN,37760,-83.49661481,36.11664567,45,CN DST Workshops,,,,,
1259,Jefferson County,Government ,2022,,,1149 Pearl Street,Beaumont,TX,77701,-94.09331327,30.07838801,,Community Planning,https://connectednation.org/community-engagements/jefferson-county-texas,,,,
1260,Jefferson County,Government ,2025,,,101 S Broadway,Waurika,OK,73573,-98.00038245,34.16384049,,Community Planning,https://connectednation.org/community-engagements/jefferson-County-oklahoma,,,,
1261,Jeffersontown Senior Center,Senior Center,2025,,,10631 Watterson Trail,Jeffersontown,KY,40299,-85.56129608,38.19705018,111,CN DST Workshops,,,,,
1262,Jessamine County Public Library,Public Library,2023,,,600 S Main St,Nicholasville,KY,40356,-84.57561192,37.87344023,12,CN DST Workshops,,,,,
1263,Jessamine County Senior Citizen Center,Senior Center,"2023, 2024",,,111 Hoover Dr,Nicholasville,KY,40356,-84.58637471,37.88458196,59,CN DST Workshops,,,,,
1264,Jewish Family Services of Greater Dallas,Non-Profit,2025,,,5402 Arapaho Rd,Dallas,TX,75248,-96.81923668,32.95960918,16,CN DST Workshops,,,,,
1265,Jim Thorpe School District FBLA,School Club,,,,1 Olympian Way,Jim Thorpe,PA,18229,-75.72416392,40.88049586,,Teens Teach Teach,,,,,
1266,John Henson Senior center,Senior Center,2025,,,2800 Putnam Ave ,Hurricane,WV,25526,-82.02347848,38.43229433,45,CN DST Workshops,,,,,
1267,Johnson County Senior Citizen Center,Senior Center,"2023, 2024",,,1127 Euclid Ave ,Paintsville,KY,41240,-82.78276659,37.81623815,49,CN DST Workshops,,,,,
1268,Jones County,Government ,2021,,,101 E Main St,Anson,TX,79501,-99.8944705,32.7464723,,Community Planning,https://connectednation.org/community-engagements/Jones-County-texas,,,,
1269,Karnes Community Center ,Community Center,2024,,,8042 Oak Ridge HWY ,Knoxville,TN,37931,-84.13378982,35.97828434,44,CN DST Workshops,,,,,
1270,Karnes County,Government ,2022,,,210 W Calvert Ave,Karnes City,TX,78118,-97.90284543,28.88500767,,Community Planning,https://connectednation.org/community-engagements/Karnes-County-texas,,,,
1271,Kaufman County,Government ,2022,,,100 W Mulberry Street,Kaufman,TX,75142,-96.30953206,32.58904323,,Community Planning,https://connectednation.org/community-engagements/kaufman-county-texas,,,,
1272,Kentucky African Achievers (Kaa),Non-Profit,2025,,,3006 Preston Hwy,Louisville,KY,40217,-85.7373753,38.20652588,5,Teens Teach Teach,,,,,
1273,Kidder Middle School FBLA,School Club,2025,,, 2850 State Route 903,Albrightsville,PA,18210,-75.5881209,41.02072557,14,Teens Teach Teach,,,,,
1274,Kilgore College,School,2023,,,300 S. High Street,Longview,TX,75601,-94.7431178,32.49270565,6,CN DST Workshops,,,,,
1275,Kimper Senior Center,Senior Center,2025,,,8151 State Highway 194 E.,Kimper,KY,41539,-82.36179363,37.51701108,27,CN DST Workshops,,,,,
1276,King County,Government ,2023,,,200 W Main Street,Guthrie,TX,79236,-100.3208616,33.61894211,,Community Planning,https://connectednation.org/community-engagements/king-county-texas,,,,
1277,Knox County,Government ,2022,,,100 N Main St,Benjamin,TX,79505,-99.7925773,33.5838802,,Community Planning,https://connectednation.org/community-engagements/Knox-County-texas,,,,
1278,Knox County Senior Citizen Center,Senior Center,2023,,,130 Harding St,Barbourville,KY,40906,-83.88607851,36.86971735,17,CN DST Workshops,,,,,
1279,Komachin Middle School HOSA,School Club,2025,,,3650 College Street SE,Lacey,WA,98516,-122.8231358,47.0153527,67,Teens Teach Teach,,,,,
1280,Koochiching Technology Initiative,Non-Profit,2024,,,1510 13th Ave E,International Falls,MN,56649,-93.41925815,48.59040532,284,Teens Teach Teach,,,,,
1281,KRADD Senior Center,Senior Center,2024,,,Highway 119 S.,Whitesburg,KY,41858,-82.79752651,37.09024588,12,CN DST Workshops,,,,,
1282,KY Career Center (Laurel County),Workforce Development,2023,,,100 University Dr,London,KY,40741,-84.06192053,37.11658527,9,CN DST Workshops,,,,,
1283,KY Career Center (Lexington),Workforce Development,2023,,,2473 Fortune Dr,Lexington,KY,40509,-84.44530619,38.03264363,7,CN DST Workshops,,,,,
1284,La Vergne Senior Center,Senior Center,2025,,,337 Stones River Rd B,La Vergne,TN,37086,-86.56512169,36.02803567,81,CN DST Workshops,,,,,
1285,Lafayette County Leadership Council,Non-Profit,,,,PO Box 252 Lewisville,Lewisville,AR,71845 ,-93.5788633,33.3561047,,Teens Teach Teach,,,,,
1286,Lake Worth Senior Center,Senior Center,2025,,,7005 Charbonneau Road,Lake Worth,TX,76135,-97.44171193,32.80991182,,CN DST Workshops,,,,,
1287,Lampasas County,Government ,2021,,,501 E 4th St,Lampasas,TX,76550,-98.17790009,31.06507665,,Community Planning,https://connectednation.org/community-engagements/Lampasas-County-texas,,,,
1288,Larue County Senior Citizen Center,Senior Center,2024,,,112 N Walters Ave ,Hodgenville,KY,42748,-85.74131723,37.57451827,26,CN DST Workshops,,,,,
1289,Lavaca County,Government ,2021,,,109 N La Grange Street,Hallettsville,TX,77964,-96.94249592,29.44514658,,Community Planning,https://connectednation.org/community-engagements/lavaca-county-texas,,,,
1290,Lawrence County Senior Citizen's Center,Senior Center,2023,,,205 Bulldog Ln,Louisa,KY,41230,-82.60570018,38.09554497,18,CN DST Workshops,,,,,
1291,Lawton Public Library,Public Library,2023,,,110 SW 4th St.,Lawton,OK,73501,-98.39360058,34.60669091,395,CN DST Workshops,,,,,
1292,Lazarus House ,Housing Shelter,2025,,,7812 Ball Camp Rd ,Knoxville,TN,37931,-84.08119547,35.96705678,597,CN DST Workshops,,,, I am grateful for these trainings. I am trying to make a difference in my life and get my life back on track. These classes will help me be more successful when I am out of treatment and will help me to get better jobs. ,
1293,LB Morris Middle School FBLA,School Club,,,,150 West Tenth Street,Jim Thorpe,PA,18229,-75.73091043,40.88113129,,Teens Teach Teach,,,,,
1294,Lebanon Senior Center,Senior Center,2025,,,670 Coles Ferry Pike,Lebanon,TN,37087,-86.29772581,36.21872322,75,CN DST Workshops,,,,,
1295,Lee County Public Library,Public Library,2023,,,255 Industrial Park Road,Beattyville,KY,41311,-83.72194375,37.5515508,16,CN DST Workshops,,,,,
1296,Lee County Senior Center,Senior Center,"2023, 2024",,,611 Broadway Street ,Beattyville,KY,41311,-83.70603961,37.57656652,32,CN DST Workshops,,,,,
1297,Leslie County Senior Citizen Center,Senior Center,"2023, 2024",,,178 Wendover Road ,Hyden,KY,41749,-83.38072133,37.14448254,37,CN DST Workshops,,,,,
1298,Letcher County Senior Center,Senior Center,2024,,,1505 Jenkins Rd. ,Whitesburg,KY,41858,-82.82033025,37.11814405,12,CN DST Workshops,,,,,
1299,Level Up Recovery,Rehabilitation Center,"2024, 2025",,,1555 East New Circle Road Suite 190,Lexington,KY,40509,-84.45574987,38.01951355,74,CN DST Workshops,,,,,
1300,Lewis County Senior Citizen Center,Senior Center,"2024, 2025",,,210 Front Street,Vanceburg,KY,41179,-83.31425435,38.60034252,110,CN DST Workshops,,,,,
1301,Lexington PL - Central Library,Public Library,2023,,,140 East Main St. ,Lexington,KY,40507,-84.49648223,38.04584882,9,CN DST Workshops,,,,,
1302,Lexington Public Library,Public Library,2023,,,3000 Blake James Dr,Lexington,KY,40509,-84.43539484,38.00812388,11,CN DST Workshops,,,,,
1303,Lexington Senior Center,Senior Center,"2023, 2025",,,195 Life Ln.,Lexington,KY,40502,-84.45918134,38.01824511,42,CN DST Workshops,,,,,
1304,Liberty County,Government ,2021,,,1923 Sam Houston Street,Liberty,TX,77575,-94.79644213,30.05878089,,Community Planning,https://connectednation.org/community-engagements/liberty-county-texas,,,,
1305,Liberty Magnet High School  - JROTC 1,School Club,,,,"1105 Lee Dr. Baton Rouge, ",Baton Rouge,LA,70808,-91.15057459,30.4050177,,Teens Teach Teach,,,,,
1306,Liberty Neighborhood Center,Non-Profit,2025,,,800 Tupelo Trail,Hinesville,GA,31313,-81.57381184,31.84569142,48,CN DST Workshops,,,,,
1307,Liberty Place of Richmond,Rehabilitation Center,2025,,,218 Lake Street ,Richmond,KY,40475,-84.27663841,37.74246411,14,CN DST Workshops,,,,,
1308,Library of Graham,Public Library,"2023, 2024",,,910 Cherry St.,Graham,TX,76450,-98.58797013,33.09877806,87,CN DST Workshops,,,,,
1309,Lighthouse Recovery,Rehabilitation Center,"2024, 2025",,,202 Bishop Lane,Elizabethtown,KY,42701,-85.85341621,37.68512854,116,CN DST Workshops,,,,,
1310,Lincoln County Public Library,Public Library,2023,,,201 Lancaster St,Stanford,KY,40484,-84.66198073,37.53045238,4,CN DST Workshops,,,,,
1311,Lincoln County Senior Citizen Center,Senior Center,"2023, 2024",,,100 Senior Way ,Stanford,KY,40484,-84.64028132,37.55091491,61,CN DST Workshops,,,,,
1312,"Little Hands, Big Hearts Little People's Service Organization",Non-Profit,2025,,,PO Box 77044,Jacksonville,FL,32226,-81.5583714,30.4566211,16,Teens Teach Teach,,,,,
1313,Live6 Detroit,Community Center,,,,7426 W McNichols Rd,Detroit,MI,48221,-83.14576435,42.41715675,,Teens Teach Teach,,,,,
1314,Living Free Rehabilitation Center,Rehabilitation Center,2024,,,214 Main Street ,Manchester,KY,40962,-83.76095791,37.15465315,40,CN DST Workshops,,,,,
1315,Living Water Church,Place of Worship,2024,,,826 W Oregon Ave.,Chickasha,OK,73-18,-97.94379639,35.04306708,41,CN DST Workshops,,,,,
1316,Livingston County Senior Center,Senior Center,2025,,,508 Rudd Street ,Smithland,KY,42081,-88.39736758,37.14301131,78,CN DST Workshops,,,,,
1317,Llano County,Government ,2021,,,2001 N Texas Highway 16,Llano,TX,78643,-98.67027312,30.77169981,,Community Planning,https://connectednation.org/community-engagements/llano-county-texas,,,,
1318,Logan County Senior Center,Senior Center,2024,,,201 W 6th Street ,Russellville,KY,42276,-86.88863063,36.84308326,20,CN DST Workshops,,,,,
1319,Lone Star School FBLA,School Club,2024,,,44940 Co Rd 54,Lone Star,CO,80743,-102.8523157,40.35184135,88,Teens Teach Teach,,,,,
1320,Longview Public Library,Public Library,2023,,,222 W. Cotton St. ,Longview,TX,75601,-94.74343673,32.49488122,17,CN DST Workshops,,,,,
1321,Loudon County Senior Center,Senior Center,2025,,,901 Main Street,Loudon,TN,37774,-84.33230321,35.73897334,,CN DST Workshops,,,,,
1322,Louisa Senior Citizen Center,Senior Center,2024,,,101 W Pike Street ,Louisa,KY,41230,-82.60596643,38.11622256,32,CN DST Workshops,,,,,
1323,Lyon County Senior Center,Senior Center,2025,,,631 W. Dale Avenue ,Eddyville,KY,42038,-88.0869355,37.08938662,72,CN DST Workshops,,,,,
1324,Macon County Senior Center,Senior Center,2025,,,329 TN-52 Scenic,Lafayette,TN,37083,-86.01690842,36.51859552,96,CN DST Workshops,,,,,
1325,Madie Ives K-8 Preparatory Academy,School,2025,,,20770 NE 14th Ave,Miami,FL,33179,-80.17433047,25.96704107,5,Teens Teach Teach,,,,,
1326,Madison County (Berea) Public Library,Public Library,2023,,,319 Chestnut St,Berea,KY,40403,-84.29580505,37.56887314,20,CN DST Workshops,,,,,
1327,Madison County Senior Citizens,Government,2023,,,280 W High St,London,OH,43140,-83.46003643,39.87983333,11,CN DST Workshops,,,,,
