ID,Organization,Organization Type,Year of Engagement,Scheduled Training Date,Scheduled Workshops,Address,City,State,Zip Code,Longitude,Latitude,Number of People Trained,Project Type,Resources,Resources,Resources,Resources,Testimonial
1037,Bardstown Senior Center,Senior Center,2023,,,122 Plaza Dr.,Bardstown,KY,40004,-85.44976823,37.80724809,24,CN DST Workshops,,,,,
1038,Barnabas Home,Rehabillitation Center,2023,,,95 Campus Dr.,Annville,KY,40402,-83.97550211,37.3197188,18,CN DST Workshops,,,,,
1039,Bastrop County,Government ,2021,,,804 Pecan Street,Bastrop,TX,78602,-97.31756119,30.1098162,,Community Planning,https://connectednation.org/community-engagements/bastrop-county-texas,,,,
1040,Bastrop County Cares - Bastrop,Non-Profit,"2024, 2025",,,1201 Main St (First Methodist Church),Bastrop,TX,78602,-97.32002748,30.11291327,129,CN DST Workshops,https://connectednation.org/blog/bridging-the-digital-divide-in-bastrop-county-a-success-story,Audio interview with CN Digital Skills Trainer Marco Mata and class attendee Sierra Garcia,https://connectednation.org/community-engagements/bastrop-county-texas,https://youtu.be/xtrwH3tcEMQ?si=HnBk0b0XJyoRuTOu,
1041,Bastrop County Cares - Cedar Creek,Non-Profit,2024,,,8201 Wolf Ln (Stony Point Fellowship Church),Del Valle,TX,78617,-97.56959982,30.13749652,54,CN DST Workshops,,,,,
1042,Bastrop County Cares - Elgin,Non-Profit,2024,,,200 Depot (Advocacy Outreach),Elgin,TX,78621,-97.37163033,30.34768255,80,CN DST Workshops,,,,,
1043,Bastrop County Cares - Smithville,Non-Profit,2024,,,106 Royston St (Smithville Recreation Center),Smithville,TX,78957,-97.16395066,30.00929698,89,CN DST Workshops,,,,,
1044,Bath County Senior Citizen Center,Senior Center,2024,,,81 A Water Street ,Owingsville,KY,40360,-83.7629269,38.14604357,40,CN DST Workshops,,,,,
1045,Bayliss Public Library,Public Library,2023,,,541 Library Drive,Sault Ste. Marie,MI,49783,-84.34772365,46.49564683,14,CN DST Workshops,,,,,
1046,Baylor County,Government ,2023,,,109 N. Washington Street,Seymour,TX,76380,-99.26161421,33.58845656,,Community Planning,https://connectednation.org/community-engagements/baylor-county-texas,,,,
1047,BE By Bailey Cochran,Non-Profit,2025,,,719 Blaine St,Detroit,MI,48202,-83.08462708,42.37770611,,Teens Teach Teach,,,,,
1048,Bean Station Senior Center,Senior Center,2025,12/10/2025,"Cybersecurity, Internet Basics, Mobile Device Basics (iOS)",181 Dogwood Lane,Bean Station,TN,37708,-83.28197681,36.34428471,0,CN DST Workshops,,,,,
1049,Berea Senior Citizen Center,Senior Center,"2023, 2025",,,214 W Jefferson St Ste 1,Berea,KY,40403,-84.29767656,37.57304561,76,CN DST Workshops,,,,,
1050,Betsy Lane Senior Center,Senior Center,"2023, 2024",,,219 Pike Floyd Hollow ,Betsy Lane,KY,41605,-82.62478422,37.55644093,30,CN DST Workshops,,,,,
1051,Big Rapids Community Library,Public Library,2023,,,426 S Michigan Ave,Big Rapids,MI,49307,-85.48185701,43.69334463,24,CN DST Workshops,,,,,
1052,Black and Brown Girl Wellness,Non-Profit,2025,,,"513 W Weldon Street ,",Vail,AZ,85641,-110.7834781,31.94757111,,Teens Teach Teach,,,,,
1053,Black Males Working Academy,School,2024,,,3016 Bracktown Rd.�,Lexington,KY,40511,-84.56221194,38.09280487,863,Teens Teach Teach,https://connectednation.org/blog/empowering-elders-lexington-youth-bring-digital-skills-training-to-church,,,,
1054,Blackberry/McCarr Senior Center,Senior Center,2025,,,4956 State Hwy. 1056 ,Ransom,KY,41558,-82.1951567,37.55753724,0,CN DST Workshops,,,,,
1055,Blanco County,Government ,2021,,,101 E Cypress St,Johnson City,TX,78636,-98.41129193,30.27866306,,Community Planning,https://connectednation.org/community-engagements/Blanco-County-texas,,,,
1056,Bledsoe County Senior Citizen Center,Senior Center,2025,,,148 Frazier St,Pikeville,TN,37367,-85.18824422,35.604595,51,CN DST Workshops,,,,,
1057,Blue Star Families -Christian County CoC,Military / Veteran Family Support,2023,,,2800 Fort Campbell Blvd ,Hopkinsville,KY,42240,-87.48231622,36.84067011,53,CN DST Workshops,,,,,
1058,Blue Star Families -Fort Campbell,Military / Veteran Family Support,2023,,,1501 William C. Lee Rd.,Fort Campbell,KY,42223,-87.44750655,36.61272588,325,CN DST Workshops,,,,,
1059,Blue Star Families -Fort Leonard Wood,Military / Veteran Family Support,2023,,,Fort Leonard Wood,St. Robert,MO,65473,-92.135262,37.79508193,55,CN DST Workshops,,,,,
1060,Blue Star Families -Great Missionary Visionary Center,Military / Veteran Family Support,2023,,,458 Ringgold Rd,Clarksville,TN,37042,-87.40238615,36.59441297,28,CN DST Workshops,,,,,
1061,"Blue Star Families -Manifest Magic Black Girl Cooperative/Clarksville, TN",Military / Veteran Family Support,2023,,,1330 College St Suite R,Clarksville,TN,37040,-87.33742966,36.53952832,10,CN DST Workshops,,,,,
1062,Bob Bailey Senior Center,Senior Center,2025,,,544 14th St. ,Huntington,WV,25701,-82.43456201,38.42000225,12,CN DST Workshops,,,,,
1063,Borderland Family Ties NM,Non-Profit,2025,,,780 Landers Rd,Anthony,NM,88021,-106.5990825,32.013907,,Teens Teach Teach,,,,,
1064,Bourbon County Senior Center,Senior Center,"2023, 2024",,,11 Legion Road ,Paris,KY,40361,-84.2440637,38.22167042,42,CN DST Workshops,,,,,
1065,Boyle County Public Library,Public Library,2023,,,307 W Broadway St,Danville,KY,40422,-84.77271581,37.64739435,9,CN DST Workshops,,,,,
1066,Bracken County Senior and Community Services Center,Senior Center,2025,,,110 Grandview Drive ,Brooksville,KY,41004,-84.05867213,38.67911472,57,CN DST Workshops,,,,,
1067,Bradfordsville Center,Non-Profit,2024,,,115 S 6th Street ,Bradfordsville,KY,40009,-85.14913786,37.49350457,22,CN DST Workshops,,,,,
1068,Breathitt County Senior Citizen Center,Senior Center,2023,,,329 Broadway St,Jackson,KY,41339,-83.38486007,37.5523926,19,CN DST Workshops,,,,,
